TEI,AI,IPI,TI,TLI,FTI,threshold,value,statechange,feedback,timestamp,attentionValue,activity,level,marker,result_1,result_2
0.4222911081314528,143.85063897376855,132.9188835295591,153.20492325547332,0.9611362080359405,153.89018429896612,45.97254607474153,153.89018429896612,false,true,1671724980976,0,-,-,-,-,-
0.42565151214253066,138.23930724601053,125.90575806022706,155.17699225640644,1.0052889804642278,151.70255568633036,72.40504847763873,151.70255568633036,true,true,1671724981201,0,-,-,-,-,-
0.4078696776035876,133.65939951379784,133.05915860660468,161.08269902826592,1.0282690083475254,158.58504193472362,93.95004684190995,158.58504193472362,true,true,1671724981458,0,-,-,-,-,-
0.43303334530712057,154.8107834244342,134.72707235627217,155.3581642772591,0.9577469420507593,156.74114158492887,109.64782052766468,156.74114158492887,true,true,1671724981682,0,-,-,-,-,-
0.42670176493511913,148.791646156944,134.8398664940658,151.39274628946288,0.9485259254980143,154.80951764485536,120.93824480696235,154.80951764485536,true,true,1671724981976,0,-,-,-,-,-
0.39196597018393703,138.7845284467295,107.1993061913233,145.905347979505,1.0087992823655256,147.13954733642979,127.48857043932921,147.13954733642979,true,true,1671724982190,0,-,-,-,-,-
0.42282688051050704,151.96771194786308,137.74619098014054,141.47359144963244,0.8780605445970472,157.18036097022485,134.91151807205313,157.18036097022485,true,true,1671724982456,0,-,-,-,-,-
0.4351206957929164,151.94986467471918,141.14379865132872,136.48231069626053,0.8879936777969641,154.18989258528086,139.73111170036006,154.18989258528086,true,true,1671724982660,0,-,-,-,-,-
0.4365719389287863,141.13362279820745,134.17080887223585,125.37462523128033,0.8391424530850308,145.51251742712378,141.17646313205097,145.51251742712378,true,true,1671724982967,0,-,-,-,-,-
0.407360138143297,120.55310225462266,127.56810436305166,121.31739527345088,0.8133207380165238,139.00469823113656,140.63352190682235,139.00469823113656,false,false,1671724983150,0,-,-,-,-,-
0.3977866510597088,123.79779649846186,117.97469638707972,121.23811195364837,0.8924553458604262,125.60123494530312,136.87545016644253,125.60123494530312,true,false,1671724983442,0,-,-,-,-,-
0.3934921550763779,130.56576887357824,112.4968943114085,129.90860635952131,0.9128013812232162,130.8530106054087,135.36984027618408,130.8530106054087,true,false,1671724983670,0,-,-,-,-,-
0.40649644141893104,130.56245772029234,117.15745055340166,121.47190433339046,0.8725806401589704,123.74970983143703,132.46480766499732,123.74970983143703,true,false,1671724983911,0,-,-,-,-,-
0.3925146827584095,120.6635487649519,109.11728820736515,112.52395053681823,0.9087594427346345,116.48231418641583,128.46918429535194,116.48231418641583,true,false,1671724984152,0,-,-,-,-,-
0.38238597331671814,96.96669712394925,97.47263042919442,110.64909826492185,0.8902415248686081,114.22178565090135,124.90733463423928,114.22178565090135,true,false,1671724984375,0,-,-,-,-,-
0.38969110454519035,106.59147053455543,93.58089238246481,109.6988136948079,0.9416411761603976,111.49093039918066,121.55323357547462,111.49093039918066,true,false,1671724984628,0,-,-,-,-,-
0.3913244099721813,117.82432576324706,109.88877734718233,111.84099858701131,0.8842818413174096,120.01013956624595,121.16746007316746,120.01013956624595,true,false,1671724984838,0,-,-,-,-,-
0.3974529009406592,119.27067004105845,109.97540285458221,124.63915448312433,0.9213087679497775,128.84759058664486,123.0874927015368,128.84759058664486,false,true,1671724985119,0,-,-,-,-,-
0.38317290546524724,101.05579424771476,108.50262753499216,123.01176155679849,0.93605097315458,130.55109953655636,124.9533944102917,130.55109953655636,true,true,1671724985317,0,-,-,-,-,-
0.3657931341071204,111.9851129006461,103.13708069866749,122.5431160244652,0.9821494102726771,136.03171174707626,127.72297374448783,136.03171174707626,true,true,1671724985621,0,-,-,-,-,-
0.38539455922067134,116.15056867884263,104.01032350103085,116.7614444516768,0.9022179165777711,129.91603088980753,128.27123803081776,129.91603088980753,true,true,1671724985813,0,-,-,-,-,-
0.3822959149962861,119.3679234493986,111.11415037326994,118.3723816720702,0.9202414810511005,125.42392289058482,127.55940924575953,125.42392289058482,false,false,1671724986088,0,-,-,-,-,-
0.37615018847460874,114.07106252480548,102.22355434376092,115.10746365396231,0.9219214339298784,121.52504552706523,126.05081831608595,121.52504552706523,true,false,1671724986326,0,-,-,-,-,-
0.36475308142691504,106.03937185582039,88.38762659970696,103.99480530883984,0.8385283658880259,111.78008913270534,122.4831360202408,111.78008913270534,true,false,1671724986574,0,-,-,-,-,-
0.36467606192460866,103.37450046568276,96.77631987071122,107.28222083999955,0.8596201937673777,113.46965439658729,120.22976561432742,113.46965439658729,true,false,1671724986794,0,-,-,-,-,-
0.3743959243738733,83.66125228796419,89.51632024009916,114.38325425507897,0.9256019680647585,120.83231206972508,120.38040222817682,120.83231206972508,false,true,1671724987042,0,-,-,-,-,-
0.3912590668998099,105.8374116355754,97.81768051677253,109.90857412949752,0.9704652225160749,117.39646200351228,119.63441717201069,117.39646200351228,false,false,1671724987254,0,-,-,-,-,-
0.39403300099319266,111.41945176280288,94.2082855630295,100.07780632378861,0.8041141984534723,115.67705702288765,118.64507713472993,115.67705702288765,true,false,1671724987507,0,-,-,-,-,-
0.38869722303914034,117.69547354338138,98.50656439899444,112.69662463579999,0.8609389886214001,122.8067384308769,119.68549245876667,122.8067384308769,false,true,1671724987756,0,-,-,-,-,-
0.4146610427341237,128.1991162159034,122.99088427460325,119.58542452419974,0.8322352907185333,131.23931982493716,122.5739493003093,131.23931982493716,true,true,1671724987995,0,-,-,-,-,-
0.41089735221517626,127.1582572382237,116.04590496247627,131.80185109905247,0.9020488122364886,140.5179775379637,127.05995635972289,140.5179775379637,true,true,1671724988230,0,-,-,-,-,-
