Cingulo_opercular_network	DNM	Salience_network	Executive_network	Working_memory_network	Dorsal_attention_network
Insular_cortex_L	Post_cingulate_cortex_L	Insular_cortex_L	Dorso_lateral_prefrontal_cortex_L	Frontal_midline_cortex_R	Visual_cortex_R
Frontal_operculum_L	Augular_gyrus_L	Dorsal_anterior_cingulate_cortex_L	Parietal_lobe_L	Posterior_partietal_cortex_R	Intraparietal_sulcus_region_R
Dorsal_anterior_prefrontal_cortex_L	Prefrontal_cortex_L	Insular_cortex_R	Dorso_lateral_prefrontal_cortex_R		Frontal_eye_field_R
Thalamus_L	Post_cingulate_cortex_R	Dorsal_anterior_cingulate_cortex_R	Parietal_lobe_R	Frontal_midline_cortex_L	Visual_cortex_L
Insular_cortex_R	Augular_gyrus_R			Posterior_partietal_cortex_L	Intraparietal_sulcus_region_L
Frontal_operculum_R	Prefrontal_cortex_R				Frontal_eye_field_L
Dorsal_anterior_prefrontal_cortex_R					
Thalamus_R					
Right_anterior_inferior_parietal_lobe					
